feature_set,lightgbm_auc,lr_auc,lightgbm_minus_lr_auc,lr_within_0.005_of_lightgbm
Model_A_final,0.7395220345859324,0.7143302662766905,0.025191768309241858,False
Model_B_final,0.7749697105275872,0.764398233044092,0.010571477483495184,False
