feature_set,lightgbm_auc,lightgbm_sd,best_other_model,best_other_auc,lr_auc,lightgbm_vs_lr_diff
Model_A_final,0.7395220345859324,0.0287412966472543,XGBoost,0.7382981076431555,0.7143302662766905,0.025191768309241858
Model_B_final,0.7749697105275872,0.0245009417733315,XGBoost,0.7747820757380846,0.764398233044092,0.010571477483495184
