model,algorithm,n_features,joblib_path,native_path,train_AUROC,train_AUPRC,external_raw_AUROC,external_raw_AUPRC
LightGBM_A,LightGBM,19,results\models\LightGBM_A.joblib,,0.8903758180540544,0.7382857278189858,0.6768166616883078,0.4441298623577918
LightGBM_B,LightGBM,27,results\models\LightGBM_B.joblib,,0.8984286589134379,0.7495376985232077,0.732392716368258,0.5211515927130399
LR_A,LR,18,results\models\LR_A.joblib,,0.7383214758414774,0.46583900203625683,0.7230948992321614,0.5001145458703098
LR_B,LR,26,results\models\LR_B.joblib,,0.7867020180783243,0.5326724654840839,0.7335933793685099,0.53897102693287
CatBoost_A,CatBoost,19,results\models\CatBoost_A.joblib,results\models\CatBoost_A.cbm,0.847233079439081,0.6312191271502942,0.6912421883693824,0.45844279170191016
CatBoost_B,CatBoost,27,results\models\CatBoost_B.joblib,results\models\CatBoost_B.cbm,0.8729098877653825,0.7056255172837825,0.7343694176491604,0.5174815662739993
XGBoost_A,XGBoost,19,results\models\XGBoost_A.joblib,,0.9083158598774648,0.7469481143234155,0.6782691710739783,0.44751863760430105
XGBoost_B,XGBoost,27,results\models\XGBoost_B.joblib,,0.8819067185555401,0.7011514735376156,0.7287497291187134,0.5048069621668967
